user,is_correct,question_id,tag_id,created_at
1041,True,608,99,2015-02-05 13:21:06.100743+00:00
1041,True,633,188,2015-02-05 13:21:54.606885+00:00
1041,True,634,188,2015-02-05 13:22:36.396005+00:00
1041,True,610,99,2015-02-05 13:23:15.425616+00:00
1041,True,626,187,2015-02-05 13:24:43.179254+00:00
1041,True,536,172,2015-02-05 13:24:58.021105+00:00
1041,True,617,102,2015-02-05 13:26:55.452317+00:00
1041,True,618,102,2015-02-05 13:27:33.387336+00:00
1041,True,536,172,2015-02-05 13:27:53.622187+00:00
1041,False,587,74,2015-02-05 13:28:39.438628+00:00
1041,True,605,71,2015-02-05 13:29:01.789984+00:00
1041,True,619,102,2015-02-05 13:29:11.006866+00:00
1041,True,597,71,2015-02-05 13:29:39.365177+00:00
1041,False,568,125,2015-02-05 13:30:17.442409+00:00
1041,True,582,64,2015-02-05 13:31:06.952490+00:00
1041,True,620,255,2015-02-05 13:31:15.732274+00:00
1041,True,596,70,2015-02-05 13:31:30.349794+00:00
1041,True,584,67,2015-02-05 13:31:40.673826+00:00
1041,True,616,100,2015-02-05 13:32:22.726674+00:00
1041,True,596,70,2015-02-05 13:32:37.646527+00:00
1041,False,551,119,2015-02-05 13:32:55.605352+00:00
1041,True,587,74,2015-02-05 13:33:09.208499+00:00
1041,True,580,63,2015-02-05 13:33:37.592973+00:00
1041,True,576,65,2015-02-05 13:33:55.068138+00:00
1041,True,591,76,2015-02-05 13:34:22.126435+00:00
1041,True,620,255,2015-02-05 13:34:37.045080+00:00
1041,True,587,74,2015-02-05 13:34:47.308128+00:00
1041,True,588,74,2015-02-05 13:35:23.916601+00:00
1041,True,578,103,2015-02-05 13:35:40.740021+00:00
1041,True,574,65,2015-02-05 13:35:57.442387+00:00
1041,True,599,73,2015-02-05 13:36:11.477042+00:00
1041,True,552,119,2015-02-05 13:37:31.690604+00:00
1041,True,592,76,2015-02-05 13:45:54.346378+00:00
1041,True,614,100,2015-02-05 13:46:18.695900+00:00
1041,True,551,119,2015-02-05 13:46:33.017188+00:00
1041,True,569,107,2015-02-05 13:46:42.513422+00:00
1041,True,582,64,2015-02-05 13:46:50.801936+00:00
1041,True,623,186,2015-02-05 13:47:53.624206+00:00
1041,True,571,66,2015-02-05 13:48:03.338928+00:00
1041,True,625,186,2015-02-05 13:48:45.221467+00:00
1041,True,581,63,2015-02-05 13:48:57.213959+00:00
1041,False,627,187,2015-02-05 13:49:14.045740+00:00
1041,True,570,107,2015-02-05 13:49:44.355924+00:00
1041,True,573,66,2015-02-05 13:50:01.021163+00:00
1041,True,524,108,2015-02-05 13:50:11.061910+00:00
1041,True,626,187,2015-02-05 13:50:22.132573+00:00
1041,True,603,73,2015-02-05 13:50:36.518052+00:00
1041,True,607,73,2015-02-05 13:50:53.531687+00:00
1041,False,555,121,2015-02-05 13:51:06.248950+00:00
1041,True,525,108,2015-02-05 13:51:21.736986+00:00
1041,True,526,108,2015-02-05 13:51:33.180818+00:00
1041,True,568,125,2015-02-05 13:51:46.583554+00:00
1041,True,567,125,2015-02-05 13:52:17.291013+00:00
1041,True,598,72,2015-02-05 13:52:30.376687+00:00
1041,False,539,112,2015-02-05 13:52:40.881444+00:00
1041,True,577,103,2015-02-05 13:53:00.742869+00:00
1041,False,531,116,2015-02-05 13:53:23.444757+00:00
1041,True,611,101,2015-02-05 13:53:59.020279+00:00
1041,False,554,121,2015-02-05 13:54:21.428739+00:00
1041,True,555,121,2015-02-05 13:54:42.543198+00:00
1041,False,529,109,2015-02-05 13:55:00.796020+00:00
1041,True,560,123,2015-02-05 13:55:42.451735+00:00
1041,False,531,116,2015-02-05 13:55:51.744210+00:00
1041,True,561,123,2015-02-05 13:56:18.199652+00:00
1041,True,593,77,2015-02-05 13:56:31.687388+00:00
1041,False,585,67,2015-02-05 13:56:44.203290+00:00
1041,True,586,67,2015-02-05 13:57:00.516265+00:00
1041,True,545,114,2015-02-05 13:57:16.761606+00:00
1041,True,594,77,2015-02-05 13:57:29.298613+00:00
1041,True,529,109,2015-02-05 13:57:46.500829+00:00
1041,False,602,72,2015-02-05 13:58:02.392058+00:00
1041,True,612,101,2015-02-05 13:58:24.719326+00:00
1041,True,533,117,2015-02-05 13:58:33.422865+00:00
1041,True,535,117,2015-02-05 13:58:47.233718+00:00
1041,False,558,122,2015-02-05 13:59:15.119746+00:00
1041,False,559,122,2015-02-05 13:59:57.802106+00:00
1041,True,531,116,2015-02-05 14:00:16.431130+00:00
1041,True,539,112,2015-02-05 14:00:38.928360+00:00
1041,True,606,72,2015-02-05 14:00:54.564832+00:00
1041,True,558,122,2015-02-05 14:01:15.238354+00:00
1041,False,541,112,2015-02-05 14:01:27.488125+00:00
1041,True,540,112,2015-02-05 14:01:42.612044+00:00
1041,True,539,112,2015-02-05 14:02:14.594950+00:00
1041,True,541,112,2015-02-05 14:02:26.157616+00:00
1041,False,557,122,2015-02-05 14:03:15.858617+00:00
1041,True,554,121,2015-02-05 14:03:33.592972+00:00
1041,True,547,114,2015-02-05 14:03:44.454434+00:00
1041,True,527,109,2015-02-05 14:04:19.531538+00:00
1041,True,531,116,2015-02-05 14:04:37.955157+00:00
1041,True,542,113,2015-02-05 14:05:08.591742+00:00
1041,True,557,122,2015-02-05 14:05:17.019966+00:00
1041,False,549,115,2015-02-05 14:05:34.103104+00:00
1041,True,557,122,2015-02-05 14:05:46.365018+00:00
1041,True,556,121,2015-02-05 14:05:57.044610+00:00
1041,True,564,124,2015-02-05 14:06:18.265584+00:00
1041,True,532,116,2015-02-05 14:06:32.299887+00:00
1041,True,562,123,2015-02-05 14:06:46.063389+00:00
1041,True,565,124,2015-02-05 14:07:52.142522+00:00
1041,True,549,115,2015-02-05 14:08:07.525861+00:00
